@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of rules: 5\n','Number of rules: 8\n','Number of rules: 6\n','Number of rules: 11\n','Number of rules: 7\n','Number of rules: 10\n','Number of rules: 12\n','Number of rules: 9\n','Number of rules: 4\n','Number of rules: 13\n','Number of rules: 34\n','Number of rules: 37\n','Number of rules: 43\n','Number of rules: 41\n','Number of rules: 40\n','Number of rules: 39\n','Number of rules: 33\n','Number of rules: 36\n','Number of rules: 44\n','Number of rules: 32\n','Number of rules: 38\n','Number of rules: 35\n','Number of rules: 30\n','Number of rules: 46\n','Number of rules: 42\n','Number of rules: 53\n','Number of rules: 29\n','Number of rules: 45\n','Number of rules: 27\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 34\nSize of the tree: 67\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 38\nSize of the tree: 75\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 81\nSize of the tree: 121\n','Number of leaves: 85\nSize of the tree: 127\n','Number of leaves: 83\nSize of the tree: 124\n','Number of leaves: 69\nSize of the tree: 103\n','Number of leaves: 97\nSize of the tree: 145\n','Number of leaves: 67\nSize of the tree: 100\n','Number of leaves: 71\nSize of the tree: 106\n','Number of leaves: 87\nSize of the tree: 130\n','Number of leaves: 65\nSize of the tree: 97\n','Number of leaves: 93\nSize of the tree: 139\n','Number of leaves: 75\nSize of the tree: 112\n','Number of leaves: 79\nSize of the tree: 118\n','Number of leaves: 77\nSize of the tree: 115\n','Number of leaves: 73\nSize of the tree: 109\n','Number of leaves: 95\nSize of the tree: 142\n','Number of leaves: 61\nSize of the tree: 91\n','Number of leaves: 91\nSize of the tree: 136\n','Number of leaves: 89\nSize of the tree: 133\n','Number of leaves: 63\nSize of the tree: 94\n'}
@attribute measureNumRules numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureOutOfBagError numeric

@data

pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,1,10,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20220305.1256,622,69,46,23,0,66.666667,33.333333,0,0.177294,0.333333,0.57735,73.318008,121.218017,64.317849,24702,-24637.682151,0.932143,358,-357.067857,15.230346,0.22073,23.679812,0.866667,39,0.708333,17,0.291667,7,0.133333,6,0.696429,0.866667,0.772277,0.19285,0.579167,0.690528,0.666667,0.508333,0.491667,0.333333,0.641484,0.666667,0.635269,0.19285,0.579167,0.590667,0.575328,0.666667,0.003,0,0.01,0,10,0,1350,64387,8534,66.666667,50,?,?,?,?,?
pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,2,1,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20220305.1256,621,70,55,15,0,78.571429,21.428571,0,0.520548,0.214286,0.46291,46.877351,96.598203,65.831562,16110,-16044.168438,0.940451,230.142857,-229.202406,33.788348,0.482691,51.325454,0.866667,39,0.36,9,0.64,16,0.133333,6,0.8125,0.866667,0.83871,0.522958,0.753333,0.789881,0.785714,0.279048,0.720952,0.214286,0.782062,0.785714,0.782332,0.522958,0.753333,0.719933,0.75978,0.785714,0.034,0,0,0,0,0,1350,64286,8635,78.571429,50,?,?,?,?,?
pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,2,2,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20220305.1256,622,69,51,18,0,73.913043,26.086957,0,0.38209,0.26087,0.510754,56.893932,106.220088,65.213365,19332,-19266.786635,0.945121,280.173913,-279.228792,26.742249,0.387569,41.007314,0.909091,40,0.56,14,0.44,11,0.090909,4,0.740741,0.909091,0.816327,0.406811,0.674545,0.731372,0.73913,0.39004,0.60996,0.26087,0.738057,0.73913,0.719831,0.406811,0.674545,0.656804,0.683163,0.73913,0.002,0,0,0,0,0,1326,64387,8534,73.913043,50,?,?,?,?,?
pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,2,3,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20220305.1256,622,69,50,19,0,72.463768,27.536232,0,0.289431,0.275362,0.52475,60.56705,110.174239,64.317849,20406,-20341.682151,0.932143,295.73913,-294.806988,23.767303,0.344454,36.952888,0.955556,43,0.708333,17,0.291667,7,0.044444,2,0.716667,0.955556,0.819048,0.349625,0.623611,0.7138,0.724638,0.477415,0.522585,0.275362,0.737923,0.724638,0.681724,0.349625,0.623611,0.630123,0.621645,0.724638,0.002,0.001,0,0,0,0,1278,64387,8534,72.463768,50,?,?,?,?,?
pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,2,4,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20220305.1256,622,69,47,22,0,68.115942,31.884058,0,0.268786,0.318841,0.56466,70.130268,118.553559,64.317849,23628,-23563.682151,0.932143,342.434783,-341.50264,17.364585,0.251661,26.998081,0.8,36,0.541667,13,0.458333,11,0.2,9,0.734694,0.8,0.765957,0.271194,0.629167,0.71819,0.681159,0.422826,0.577174,0.318841,0.670453,0.681159,0.673451,0.271194,0.629167,0.621598,0.632979,0.681159,0.002,0.001,0.01,0,10,0,1326,64387,8534,68.115942,50,?,?,?,?,?
pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,2,5,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20220305.1256,622,69,51,18,0,73.913043,26.086957,0,0.334405,0.26087,0.510754,57.37931,107.235729,64.317849,19332,-19267.682151,0.932143,280.173913,-279.24177,25.901542,0.375385,40.271157,0.955556,43,0.666667,16,0.333333,8,0.044444,2,0.728814,0.955556,0.826923,0.390856,0.644444,0.725407,0.73913,0.450242,0.549758,0.26087,0.753574,0.73913,0.702981,0.390856,0.644444,0.646501,0.648756,0.73913,0.003,0,0,0,0,0,1302,64387,8534,73.913043,50,?,?,?,?,?
pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,2,6,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20220305.1256,622,69,49,20,0,71.014493,28.985507,0,0.27673,0.289855,0.538382,63.754789,113.036384,64.317849,21480,-21415.682151,0.932143,311.304348,-310.372205,21.633064,0.313523,33.634619,0.911111,41,0.666667,16,0.333333,8,0.088889,4,0.719298,0.911111,0.803922,0.30716,0.622222,0.713332,0.710145,0.4657,0.5343,0.289855,0.700992,0.710145,0.678886,0.30716,0.622222,0.623166,0.624183,0.710145,0.003,0,0.01,0,10,0,1278,64387,8534,71.014493,50,?,?,?,?,?
pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,2,7,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20220305.1256,622,69,57,12,0,82.608696,17.391304,0,0.584337,0.173913,0.417029,38.252874,87.557606,64.317849,12888,-12823.682151,0.932143,186.782609,-185.850466,38.706978,0.560971,60.180772,0.955556,43,0.416667,10,0.583333,14,0.044444,2,0.811321,0.955556,0.877551,0.608153,0.769444,0.804248,0.826087,0.287198,0.712802,0.173913,0.83347,0.826087,0.815794,0.608153,0.769444,0.752455,0.788776,0.826087,0.002,0,0,0,0,0,1326,64387,8534,82.608696,50,?,?,?,?,?
pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,2,8,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20220305.1256,622,69,49,20,0,71.014493,28.985507,0,0.307229,0.289855,0.538382,63.754789,113.036384,64.317849,21480,-21415.682151,0.932143,311.304348,-310.372205,21.633064,0.313523,33.634619,0.866667,39,0.583333,14,0.416667,10,0.133333,6,0.735849,0.866667,0.795918,0.319751,0.641667,0.724692,0.710145,0.426812,0.573188,0.289855,0.697293,0.710145,0.69299,0.319751,0.641667,0.633779,0.647959,0.710145,0.003,0,0.01,0,10,0,1326,64387,8534,71.014493,50,?,?,?,?,?
pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,2,9,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20220305.1256,622,69,55,14,0,79.710145,20.289855,0,0.561308,0.202899,0.450443,44.628352,94.573024,64.317849,15036,-14971.682151,0.932143,217.913043,-216.980901,34.438499,0.499109,53.544233,0.822222,37,0.25,6,0.75,18,0.177778,8,0.860465,0.822222,0.840909,0.562413,0.786111,0.823436,0.797101,0.224879,0.775121,0.202899,0.801976,0.797101,0.798854,0.562413,0.786111,0.747871,0.780455,0.797101,0.003,0,0,0,0,0,1326,64387,8534,79.710145,50,?,?,?,?,?
pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,2,10,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20220305.1256,622,69,50,19,0,72.463768,27.536232,0,0.320373,0.275362,0.52475,60.56705,110.174239,64.317849,20406,-20341.682151,0.932143,295.73913,-294.806988,23.767303,0.344454,36.952888,0.911111,41,0.625,15,0.375,9,0.088889,4,0.732143,0.911111,0.811881,0.348482,0.643056,0.725035,0.724638,0.438527,0.561473,0.275362,0.718287,0.724638,0.6987,0.348482,0.643056,0.638764,0.649184,0.724638,0.003,0,0,0,0,0,1278,64387,8534,72.463768,50,?,?,?,?,?
pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,3,1,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20220305.1256,621,70,51,19,0,72.857143,27.142857,0,0.344828,0.271429,0.520988,59.377978,108.717691,65.831562,20406,-20340.168438,0.940451,291.514286,-290.573835,25.243491,0.360621,38.345575,0.911111,41,0.6,15,0.4,10,0.088889,4,0.732143,0.911111,0.811881,0.372678,0.655556,0.724206,0.728571,0.41746,0.58254,0.271429,0.725765,0.728571,0.705074,0.372678,0.655556,0.644133,0.662351,0.728571,0.009,0,0,0,0,0,1350,64286,8635,72.857143,50,?,?,?,?,?
pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,3,2,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20220305.1256,622,69,53,16,0,76.811594,23.188406,0,0.421384,0.231884,0.481543,51.003831,101.102815,64.317849,17184,-17119.682151,0.932143,249.043478,-248.111336,30.170021,0.437247,46.907695,0.955556,43,0.583333,14,0.416667,10,0.044444,2,0.754386,0.955556,0.843137,0.46772,0.686111,0.749843,0.768116,0.395894,0.604106,0.231884,0.781846,0.768116,0.743109,0.46772,0.686111,0.680375,0.699346,0.768116,0.002,0.001,0,0,0,0,1302,64387,8534,76.811594,50,?,?,?,?,?
